,0,1,2,3,4
2012-06-28,2317 鴻海 (其他電子業),3045 台灣大 (通信網路業),4979 華星光 (通信網路業),2545 皇翔 (建材營造),2105 正新 (橡膠工業)
2012-06-29,2317 鴻海 (其他電子業),3045 台灣大 (通信網路業),4906 正文 (通信網路業),2603 長榮 (航運業),5388 中磊 (通信網路業)
2012-07-02,2891 中信金 (金融保險業),4906 正文 (通信網路業),2886 兆豐金 (金融保險業),2317 鴻海 (其他電子業),2882 國泰金 (金融保險業)
2012-07-03,4906 正文 (通信網路業),2891 中信金 (金融保險業),2886 兆豐金 (金融保險業),2317 鴻海 (其他電子業),2888 新光金 (金融保險業)
2012-07-04,2317 鴻海 (其他電子業),2891 中信金 (金融保險業),8213 志超 (電子零組件業),2888 新光金 (金融保險業),2105 正新 (橡膠工業)
2012-07-05,2891 中信金 (金融保險業),2419 仲琦 (通信網路業),2886 兆豐金 (金融保險業),2884 玉山金 (金融保險業),2402 毅嘉 (電子零組件業)
2012-07-06,2385 群光 (電子零組件業),1337 再生-KY (塑膠工業),5392 能率 (光電業),1802 台玻 (玻璃陶瓷),2105 正新 (橡膠工業)
2012-07-09,2497 怡利電 (汽車工業),1802 台玻 (玻璃陶瓷),1702 南僑 (食品工業),2106 建大 (橡膠工業),4958 臻鼎-KY (電子零組件業)
2012-07-10,1702 南僑 (食品工業),2610 華航 (航運業),2006 東和鋼鐵 (鋼鐵工業),2809 京城銀 (其他證券),2885 元大金 (金融保險業)
2012-07-11,2105 正新 (橡膠工業),4904 遠傳 (通信網路業),1702 南僑 (食品工業),2912 統一超 (貿易百貨),2006 東和鋼鐵 (鋼鐵工業)
2012-07-12,2105 正新 (橡膠工業),2723 美食-KY (觀光餐旅),4904 遠傳 (通信網路業),4207 環泰 (食品工業),2886 兆豐金 (金融保險業)
2012-07-13,4904 遠傳 (通信網路業),2886 兆豐金 (金融保險業),2723 美食-KY (觀光餐旅),2890 永豐金 (金融保險業),1702 南僑 (食品工業)
2012-07-16,4904 遠傳 (通信網路業),9907 統一實 (其他),9941 裕融 (其他),2880 華南金 (金融保險業),2106 建大 (橡膠工業)
2012-07-17,2105 正新 (橡膠工業),2106 建大 (橡膠工業),9907 統一實 (其他),2892 第一金 (金融保險業),9941 裕融 (其他)
2012-07-18,9907 統一實 (其他),2106 建大 (橡膠工業),2892 第一金 (金融保險業),1337 再生-KY (塑膠工業),9941 裕融 (其他)
2012-07-19,2497 怡利電 (汽車工業),5530 龍巖 (其他),2892 第一金 (金融保險業),1712 興農 (化學工業),2106 建大 (橡膠工業)
2012-07-20,1712 興農 (化學工業),1580 新麥 (電機機械),2105 正新 (橡膠工業),5522 遠雄 (建材營造),2892 第一金 (金融保險業)
2012-07-23,1712 興農 (化學工業),4105 東洋 (生技醫療業),2105 正新 (橡膠工業),1337 再生-KY (塑膠工業),1507 永大 (電機機械)
2012-07-24,8299 群聯 (半導體業),2105 正新 (橡膠工業),5530 龍巖 (其他),1712 興農 (化學工業),3702 大聯大 (電子通路業)
2012-07-25,5530 龍巖 (其他),4141 龍燈-KY (化學生技醫療),2105 正新 (橡膠工業),2887 台新新光金 (金融保險業),2890 永豐金 (金融保險業)
2012-07-26,5530 龍巖 (其他),2887 台新新光金 (金融保險業),4141 龍燈-KY (化學生技醫療),2886 兆豐金 (金融保險業),2890 永豐金 (金融保險業)
2012-07-27,2106 建大 (橡膠工業),2887 台新新光金 (金融保險業),5530 龍巖 (其他),4141 龍燈-KY (化學生技醫療),1537 廣隆 (電機機械)
2012-07-30,9907 統一實 (其他),2106 建大 (橡膠工業),2887 台新新光金 (金融保險業),4141 龍燈-KY (化學生技醫療),9941 裕融 (其他)
2012-07-31,2887 台新新光金 (金融保險業),9907 統一實 (其他),9941 裕融 (其他),5871 中租-KY (其他),2382 廣達 (電腦及週邊設備業)
2012-08-01,2454 聯發科 (半導體業),2887 台新新光金 (金融保險業),2450 神腦 (通信網路業),3545 敦泰 (半導體業),2105 正新 (橡膠工業)
2012-08-03,2454 聯發科 (半導體業),3545 敦泰 (半導體業),2886 兆豐金 (金融保險業),3702 大聯大 (電子通路業),2887 台新新光金 (金融保險業)
2012-08-06,2886 兆豐金 (金融保險業),4736 泰博 (生技醫療業),2912 統一超 (貿易百貨),8406 金可-KY (化學生技醫療),1708 東鹼 (化學工業)
2012-08-07,2903 遠百 (貿易百貨),1476 儒鴻 (紡織纖維),4906 正文 (通信網路業),2497 怡利電 (汽車工業),1708 東鹼 (化學工業)
2012-08-08,4105 東洋 (生技醫療業),2497 怡利電 (汽車工業),1726 永記 (化學工業),2101 南港 (橡膠工業),1788 杏昌 (生技醫療業)
2012-08-09,4958 臻鼎-KY (電子零組件業),2317 鴻海 (其他電子業),2497 怡利電 (汽車工業),4927 泰鼎-KY (電子零組件業),2505 國揚 (建材營造)
2012-08-10,4958 臻鼎-KY (電子零組件業),3376 新日興 (電子零組件業),6269 台郡 (電子零組件業),3454 晶睿 (光電業),6153 嘉聯益 (電子零組件業)
2012-08-13,6153 嘉聯益 (電子零組件業),3545 敦泰 (半導體業),3105 穩懋 (半導體業),3454 晶睿 (光電業),2454 聯發科 (半導體業)
2012-08-14,6153 嘉聯益 (電子零組件業),8086 宏捷科 (半導體業),3545 敦泰 (半導體業),3005 神基 (電腦及週邊設備業),4958 臻鼎-KY (電子零組件業)
2012-08-15,5203 訊連 (資訊服務業),8086 宏捷科 (半導體業),4958 臻鼎-KY (電子零組件業),6153 嘉聯益 (電子零組件業),4938 和碩 (電腦及週邊設備業)
2012-08-16,8086 宏捷科 (半導體業),3105 穩懋 (半導體業),5234 達興材料 (光電業),3390 旭軟 (電子零組件業),5388 中磊 (通信網路業)
2012-08-17,5234 達興材料 (光電業),2542 興富發 (建材營造),3105 穩懋 (半導體業),2536 宏普 (建材營造),2545 皇翔 (建材營造)
2012-08-20,2536 宏普 (建材營造),3105 穩懋 (半導體業),2354 鴻準 (其他電子業),4958 臻鼎-KY (電子零組件業),2542 興富發 (建材營造)
2012-08-21,2542 興富發 (建材營造),3443 創意 (半導體業),1402 遠東新 (紡織纖維),2337 旺宏 (半導體業),2379 瑞昱 (半導體業)
2012-08-22,8406 金可-KY (化學生技醫療),5534 長虹 (建材營造),4105 東洋 (生技醫療業),1789 神隆 (生技醫療業),2536 宏普 (建材營造)
2012-08-23,2891 中信金 (金融保險業),2884 玉山金 (金融保險業),4933 友輝 (光電業),2355 敬鵬 (電子零組件業),2890 永豐金 (金融保險業)
2012-08-24,2884 玉山金 (金融保險業),2450 神腦 (通信網路業),2809 京城銀 (其他證券),4105 東洋 (生技醫療業),4107 邦特 (生技醫療業)
2012-08-27,4105 東洋 (生技醫療業),1789 神隆 (生技醫療業),5203 訊連 (資訊服務業),6188 廣明 (電腦及週邊設備業),3441 聯一光電 (光電業)
2012-08-28,2515 中工 (建材營造),5534 長虹 (建材營造),3176 基亞 (生技醫療業),6188 廣明 (電腦及週邊設備業),2536 宏普 (建材營造)
2012-08-29,2536 宏普 (建材營造),4904 遠傳 (通信網路業),3042 晶技 (電子零組件業),9945 潤泰新 (其他),5512 力麒 (建材營造)
2012-08-30,2449 京元電子 (半導體業),6147 頎邦 (半導體業),8016 矽創 (半導體業),3454 晶睿 (光電業),5234 達興材料 (光電業)
2012-08-31,5347 世界 (半導體業),6147 頎邦 (半導體業),8016 矽創 (半導體業),2449 京元電子 (半導體業),3545 敦泰 (半導體業)
2012-09-03,3545 敦泰 (半導體業),6147 頎邦 (半導體業),5347 世界 (半導體業),4958 臻鼎-KY (電子零組件業),8016 矽創 (半導體業)
2012-09-04,6147 頎邦 (半導體業),3545 敦泰 (半導體業),5347 世界 (半導體業),3035 智原 (半導體業),2337 旺宏 (半導體業)
2012-09-05,3545 敦泰 (半導體業),3035 智原 (半導體業),6147 頎邦 (半導體業),5347 世界 (半導體業),3034 聯詠 (半導體業)
2012-09-06,2545 皇翔 (建材營造),4966 譜瑞-KY (半導體業),5213 亞昕 (建材營造),6176 瑞儀 (光電業),5508 永信建 (建材營造)
