,0,1,2,3,4
2012-06-26,3005 神基 (電腦及週邊設備),2618 長榮航 (交通運輸及航運),6285 啟碁 (太空衛星科技),2610 華航 (交通運輸及航運),1569 濱川 (電腦及週邊設備)
2012-06-27,2618 長榮航 (交通運輸及航運),3622 洋華 (智慧電網),2609 陽明 (交通運輸及航運),1312 國喬 (石化及塑橡膠),2105 正新 (石化及塑橡膠)
2012-06-28,3045 台灣大 (通信網路),2317 鴻海 (通信網路),2412 中華電 (智慧電網),4979 華星光 (通信網路),1785 光洋科 (其他)
2012-06-29,2317 鴻海 (通信網路),3045 台灣大 (通信網路),5388 中磊 (通信網路),2603 長榮 (交通運輸及航運),4906 正文 (通信網路)
2012-07-02,2891 中信金 (金融),2890 永豐金 (金融),4906 正文 (通信網路),2886 兆豐金 (金融),2885 元大金 (金融)
2012-07-03,2885 元大金 (金融),1301 台塑 (石化及塑橡膠),4906 正文 (通信網路),2891 中信金 (金融),2890 永豐金 (金融)
2012-07-04,1301 台塑 (石化及塑橡膠),2317 鴻海 (通信網路),2891 中信金 (金融),8069 元太 (平面顯示器),4960 誠美材 (平面顯示器)
2012-07-05,2891 中信金 (金融),2419 仲琦 (太空衛星科技),3227 原相 (人工智慧),2886 兆豐金 (金融),2801 彰銀 (金融)
2012-07-06,1303 南亞 (印刷電路板),1337 再生-KY (石化及塑橡膠),2385 群光 (電腦及週邊設備),1216 統一 (食品),5392 能率 (電腦及週邊設備)
2012-07-09,2354 鴻準 (其他),2497 怡利電 (其他),1802 台玻 (印刷電路板),1216 統一 (食品),1702 南僑 (食品)
2012-07-10,1702 南僑 (食品),2610 華航 (交通運輸及航運),1216 統一 (食品),2006 東和鋼鐵 (鋼鐵),6505 台塑化 (油電燃氣)
2012-07-11,2105 正新 (石化及塑橡膠),2915 潤泰全 (貿易百貨),4904 遠傳 (大數據),1702 南僑 (食品),1216 統一 (食品)
2012-07-12,2891 中信金 (金融),2105 正新 (石化及塑橡膠),2723 美食-KY (食品),4904 遠傳 (大數據),2886 兆豐金 (金融)
