,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2013-12-04,1590 亞德客-KY (電機機械),3653 健策 (半導體),5425 台半 (半導體),5009 榮剛 (航太週邊),4938 和碩 (半導體),3006 晶豪科 (半導體),,,,,,,,,
2013-12-05,6245 立端 (通信網路),2317 鴻海 (通信網路),1590 亞德客-KY (電機機械),1536 和大 (汽車),,,,,,,,,,,
2013-12-06,3653 健策 (半導體),3529 力旺 (半導體),6245 立端 (通信網路),2317 鴻海 (通信網路),5483 中美晶 (半導體),8436 大江 (食品生技),6147 頎邦 (半導體),1590 亞德客-KY (電機機械),,,,,,,
2013-12-09,2317 鴻海 (通信網路),,,,,,,,,,,,,,
2013-12-10,6285 啟碁 (太空衛星科技),2317 鴻海 (通信網路),5347 世界 (半導體),2303 聯電 (半導體),5483 中美晶 (半導體),3653 健策 (半導體),3078 僑威 (電腦及週邊設備),6279 胡連 (連接器),,,,,,,
2013-12-11,5347 世界 (半導體),2881 富邦金 (金融),2891 中信金 (金融),3653 健策 (半導體),6285 啟碁 (太空衛星科技),2892 第一金 (金融),2801 彰銀 (金融),2344 華邦電 (半導體),2880 華南金 (金融),,,,,,
2013-12-12,1312 國喬 (石化及塑橡膠),1301 台塑 (石化及塑橡膠),6285 啟碁 (太空衛星科技),8044 網家 (電子商務),1909 榮成 (造紙),1326 台化 (石化及塑橡膠),,,,,,,,,
2013-12-13,1312 國喬 (石化及塑橡膠),1301 台塑 (石化及塑橡膠),3691 碩禾 (太陽能產業),2201 裕隆 (汽車),,,,,,,,,,,
2013-12-16,1312 國喬 (石化及塑橡膠),2891 中信金 (金融),2201 裕隆 (汽車),1301 台塑 (石化及塑橡膠),6245 立端 (通信網路),3045 台灣大 (通信網路),2618 長榮航 (交通運輸及航運),,,,,,,,
2013-12-17,2201 裕隆 (汽車),6245 立端 (通信網路),2231 為升 (汽車),2385 群光 (電腦及週邊設備),5388 中磊 (通信網路),3045 台灣大 (通信網路),1319 東陽 (汽車),3260 威剛 (LED照明產業),,,,,,,
2013-12-18,3691 碩禾 (太陽能產業),2331 精英 (電腦及週邊設備),2201 裕隆 (汽車),1605 華新 (太陽能產業),2385 群光 (電腦及週邊設備),,,,,,,,,,
2013-12-19,3691 碩禾 (太陽能產業),9904 寶成 (其他),1312 國喬 (石化及塑橡膠),2105 正新 (石化及塑橡膠),1513 中興電 (太陽能產業),2201 裕隆 (汽車),1536 和大 (汽車),,,,,,,,
2013-12-20,2317 鴻海 (通信網路),2201 裕隆 (汽車),3691 碩禾 (太陽能產業),1513 中興電 (太陽能產業),2385 群光 (電腦及週邊設備),1319 東陽 (汽車),2474 可成 (電腦及週邊設備),1536 和大 (汽車),,,,,,,
2013-12-23,2201 裕隆 (汽車),2317 鴻海 (通信網路),2382 廣達 (運動科技),1536 和大 (汽車),2357 華碩 (人工智慧),,,,,,,,,,
2013-12-24,3152 璟德 (通信網路),5371 中光電 (人工智慧),1590 亞德客-KY (電機機械),2317 鴻海 (通信網路),2357 華碩 (人工智慧),2606 裕民 (交通運輸及航運),,,,,,,,,
2013-12-25,3078 僑威 (電腦及週邊設備),8044 網家 (電子商務),6188 廣明 (電腦及週邊設備),2357 華碩 (人工智慧),2606 裕民 (交通運輸及航運),,,,,,,,,,
2013-12-26,2002 中鋼 (鋼鐵),2606 裕民 (交通運輸及航運),2006 東和鋼鐵 (鋼鐵),2357 華碩 (人工智慧),,,,,,,,,,,
2013-12-27,3078 僑威 (電腦及週邊設備),5371 中光電 (人工智慧),5425 台半 (半導體),2356 英業達 (電腦及週邊設備),2347 聯強 (半導體),2458 義隆 (半導體),3653 健策 (半導體),2379 瑞昱 (半導體),2474 可成 (電腦及週邊設備),3227 原相 (人工智慧),2357 華碩 (人工智慧),3702 大聯大 (半導體),,,
2013-12-30,3691 碩禾 (太陽能產業),2439 美律 (能源元件),2049 上銀 (自動化),2347 聯強 (半導體),2454 聯發科 (半導體),2303 聯電 (半導體),5425 台半 (半導體),1513 中興電 (太陽能產業),3702 大聯大 (半導體),,,,,,
2013-12-31,3691 碩禾 (太陽能產業),8039 台虹 (印刷電路板),2347 聯強 (半導體),5483 中美晶 (半導體),6274 台燿 (印刷電路板),2409 友達 (太陽能產業),6269 台郡 (印刷電路板),8046 南電 (印刷電路板),3189 景碩 (半導體),2313 華通 (印刷電路板),6182 合晶 (半導體),5425 台半 (半導體),1802 台玻 (印刷電路板),3529 力旺 (半導體),1513 中興電 (太陽能產業)
2014-01-02,8039 台虹 (印刷電路板),2313 華通 (印刷電路板),2393 億光 (LED照明產業),6269 台郡 (印刷電路板),1795 美時 (製藥),6274 台燿 (印刷電路板),6153 嘉聯益 (印刷電路板),2308 台達電 (LED照明產業),4958 臻鼎-KY (印刷電路板),,,,,,
2014-01-03,5483 中美晶 (半導體),2474 可成 (電腦及週邊設備),1795 美時 (製藥),8299 群聯 (半導體),2801 彰銀 (金融),2458 義隆 (半導體),5425 台半 (半導體),2331 精英 (電腦及週邊設備),2890 永豐金 (金融),,,,,,
2014-01-06,5483 中美晶 (半導體),6188 廣明 (電腦及週邊設備),2344 華邦電 (半導體),8299 群聯 (半導體),1795 美時 (製藥),6182 合晶 (半導體),5425 台半 (半導體),2382 廣達 (運動科技),3264 欣銓 (半導體),2330 台積電 (半導體),,,,,
2014-01-07,5483 中美晶 (半導體),6274 台燿 (印刷電路板),2347 聯強 (半導體),6153 嘉聯益 (印刷電路板),5388 中磊 (通信網路),2303 聯電 (半導體),8299 群聯 (半導體),2330 台積電 (半導體),6182 合晶 (半導體),3044 健鼎 (印刷電路板),8039 台虹 (印刷電路板),,,,
2014-01-08,6153 嘉聯益 (印刷電路板),5483 中美晶 (半導體),6188 廣明 (電腦及週邊設備),2393 億光 (LED照明產業),4958 臻鼎-KY (印刷電路板),2485 兆赫 (平面顯示器),2303 聯電 (半導體),2458 義隆 (半導體),6269 台郡 (印刷電路板),2379 瑞昱 (半導體),2371 大同 (LED照明產業),8299 群聯 (半導體),2347 聯強 (半導體),2331 精英 (電腦及週邊設備),2324 仁寶 (平面顯示器)
2014-01-09,6188 廣明 (電腦及週邊設備),4958 臻鼎-KY (印刷電路板),2458 義隆 (半導體),5483 中美晶 (半導體),2485 兆赫 (平面顯示器),3529 力旺 (半導體),2303 聯電 (半導體),2347 聯強 (半導體),3653 健策 (半導體),5425 台半 (半導體),6182 合晶 (半導體),2324 仁寶 (平面顯示器),2382 廣達 (運動科技),8299 群聯 (半導體),2385 群光 (電腦及週邊設備)
2014-01-10,6176 瑞儀 (平面顯示器),4958 臻鼎-KY (印刷電路板),2485 兆赫 (平面顯示器),2458 義隆 (半導體),3529 力旺 (半導體),6274 台燿 (印刷電路板),5425 台半 (半導體),5483 中美晶 (半導體),2303 聯電 (半導體),2409 友達 (太陽能產業),2330 台積電 (半導體),3034 聯詠 (半導體),2382 廣達 (運動科技),3044 健鼎 (印刷電路板),2449 京元電子 (半導體)
2014-01-13,6188 廣明 (電腦及週邊設備),2449 京元電子 (半導體),2330 台積電 (半導體),2458 義隆 (半導體),2382 廣達 (運動科技),2303 聯電 (半導體),1909 榮成 (造紙),3006 晶豪科 (半導體),2379 瑞昱 (半導體),8299 群聯 (半導體),,,,,
2014-01-14,2347 聯強 (半導體),2382 廣達 (運動科技),2330 台積電 (半導體),2458 義隆 (半導體),2002 中鋼 (鋼鐵),2357 華碩 (人工智慧),5371 中光電 (人工智慧),8299 群聯 (半導體),3380 明泰 (太空衛星科技),,,,,,
2014-01-15,2382 廣達 (運動科技),2330 台積電 (半導體),2356 英業達 (電腦及週邊設備),3264 欣銓 (半導體),3380 明泰 (太空衛星科技),2357 華碩 (人工智慧),,,,,,,,,
2014-01-16,2330 台積電 (半導體),6176 瑞儀 (平面顯示器),3529 力旺 (半導體),6153 嘉聯益 (印刷電路板),3264 欣銓 (半導體),2344 華邦電 (半導體),2356 英業達 (電腦及週邊設備),2449 京元電子 (半導體),2303 聯電 (半導體),6274 台燿 (印刷電路板),2379 瑞昱 (半導體),2485 兆赫 (平面顯示器),2377 微星 (電腦及週邊設備),4958 臻鼎-KY (印刷電路板),2313 華通 (印刷電路板)
2014-01-17,2049 上銀 (自動化),2891 中信金 (金融),2881 富邦金 (金融),2801 彰銀 (金融),,,,,,,,,,,
2014-01-20,2382 廣達 (運動科技),6176 瑞儀 (平面顯示器),2392 正崴 (平面顯示器),,,,,,,,,,,,
2014-01-21,6176 瑞儀 (平面顯示器),2049 上銀 (自動化),5371 中光電 (人工智慧),2382 廣達 (運動科技),2357 華碩 (人工智慧),,,,,,,,,,
2014-01-22,1590 亞德客-KY (電機機械),2357 華碩 (人工智慧),6271 同欣電 (LED照明產業),,,,,,,,,,,,
2014-01-23,6271 同欣電 (LED照明產業),2301 光寶科 (LED照明產業),,,,,,,,,,,,,
2014-01-27,2439 美律 (能源元件),2520 冠德 (建材營造),9945 潤泰新 (建材營造),1795 美時 (製藥),,,,,,,,,,,
2014-02-05,2520 冠德 (建材營造),1795 美時 (製藥),2439 美律 (能源元件),2382 廣達 (運動科技),2548 華固 (建材營造),,,,,,,,,,
2014-02-06,2377 微星 (電腦及週邊設備),2520 冠德 (建材營造),2474 可成 (電腦及週邊設備),6188 廣明 (電腦及週邊設備),1795 美時 (製藥),3078 僑威 (電腦及週邊設備),2049 上銀 (自動化),,,,,,,,
2014-02-07,2377 微星 (電腦及週邊設備),5009 榮剛 (航太週邊),2347 聯強 (半導體),3034 聯詠 (半導體),6188 廣明 (電腦及週邊設備),2327 國巨 (被動元件),3529 力旺 (半導體),3189 景碩 (半導體),,,,,,,
2014-02-10,3691 碩禾 (太陽能產業),1536 和大 (汽車),1319 東陽 (汽車),1477 聚陽 (紡織),5871 中租-KY (太陽能產業),,,,,,,,,,
2014-02-11,1795 美時 (製藥),1477 聚陽 (紡織),2327 國巨 (被動元件),6274 台燿 (印刷電路板),8039 台虹 (印刷電路板),2355 敬鵬 (印刷電路板),3044 健鼎 (印刷電路板),4128 中天 (製藥),,,,,,,
2014-02-12,2376 技嘉 (電動車輛產業),1536 和大 (汽車),6274 台燿 (印刷電路板),1795 美時 (製藥),3044 健鼎 (印刷電路板),,,,,,,,,,
2014-02-13,3691 碩禾 (太陽能產業),5347 世界 (半導體),1536 和大 (汽車),2231 為升 (汽車),2344 華邦電 (半導體),2049 上銀 (自動化),2201 裕隆 (汽車),,,,,,,,
2014-02-14,2376 技嘉 (電動車輛產業),2439 美律 (能源元件),2485 兆赫 (平面顯示器),,,,,,,,,,,,
2014-02-17,2376 技嘉 (電動車輛產業),6279 胡連 (連接器),,,,,,,,,,,,,
2014-02-18,6290 良維 (連接器),3034 聯詠 (半導體),2049 上銀 (自動化),3264 欣銓 (半導體),5009 榮剛 (航太週邊),5388 中磊 (通信網路),3529 力旺 (半導體),8112 至上 (半導體),2486 一詮 (半導體),3045 台灣大 (通信網路),3189 景碩 (半導體),,,,
2014-02-19,3529 力旺 (半導體),3264 欣銓 (半導體),1565 精華 (醫療器材),3045 台灣大 (通信網路),2449 京元電子 (半導體),5425 台半 (半導體),2303 聯電 (半導體),2344 華邦電 (半導體),,,,,,,
2014-02-20,1536 和大 (汽車),3264 欣銓 (半導體),1319 東陽 (汽車),2344 華邦電 (半導體),,,,,,,,,,,
2014-02-21,3552 同致 (汽車),3691 碩禾 (太陽能產業),6285 啟碁 (太空衛星科技),,,,,,,,,,,,
2014-02-24,5483 中美晶 (半導體),2409 友達 (太陽能產業),3529 力旺 (半導體),3691 碩禾 (太陽能產業),5388 中磊 (通信網路),4938 和碩 (半導體),2317 鴻海 (通信網路),5347 世界 (半導體),2449 京元電子 (半導體),2303 聯電 (半導體),3702 大聯大 (半導體),,,,
2014-02-25,5388 中磊 (通信網路),2449 京元電子 (半導體),5347 世界 (半導體),4938 和碩 (半導體),2376 技嘉 (電動車輛產業),4123 晟德 (製藥),2303 聯電 (半導體),,,,,,,,
2014-02-26,5388 中磊 (通信網路),6290 良維 (連接器),2449 京元電子 (半導體),6245 立端 (通信網路),4938 和碩 (半導體),2379 瑞昱 (半導體),2303 聯電 (半導體),2330 台積電 (半導體),,,,,,,
2014-02-27,2409 友達 (太陽能產業),6290 良維 (連接器),2356 英業達 (電腦及週邊設備),1476 儒鴻 (紡織),8044 網家 (電子商務),,,,,,,,,,
2014-03-03,6290 良維 (連接器),8044 網家 (電子商務),6245 立端 (通信網路),3443 創意 (半導體),2371 大同 (LED照明產業),,,,,,,,,,
2014-03-04,2439 美律 (能源元件),2393 億光 (LED照明產業),8044 網家 (電子商務),,,,,,,,,,,,
2014-03-05,8044 網家 (電子商務),5371 中光電 (人工智慧),2393 億光 (LED照明產業),6245 立端 (通信網路),1476 儒鴻 (紡織),3045 台灣大 (通信網路),,,,,,,,,
2014-03-06,5425 台半 (半導體),2454 聯發科 (半導體),3533 嘉澤 (連接器),3260 威剛 (LED照明產業),2393 億光 (LED照明產業),2303 聯電 (半導體),4938 和碩 (半導體),3552 同致 (汽車),5483 中美晶 (半導體),2379 瑞昱 (半導體),3264 欣銓 (半導體),3443 創意 (半導體),3006 晶豪科 (半導體),,
2014-03-07,5425 台半 (半導體),3533 嘉澤 (連接器),5371 中光電 (人工智慧),2231 為升 (汽車),3443 創意 (半導體),4938 和碩 (半導體),3552 同致 (汽車),3264 欣銓 (半導體),,,,,,,
2014-03-10,9938 百和 (其他),2439 美律 (能源元件),3533 嘉澤 (連接器),2059 川湖 (其他),5371 中光電 (人工智慧),,,,,,,,,,
2014-03-11,5371 中光電 (人工智慧),2439 美律 (能源元件),2382 廣達 (運動科技),6153 嘉聯益 (印刷電路板),,,,,,,,,,,
2014-03-12,5425 台半 (半導體),3006 晶豪科 (半導體),3533 嘉澤 (連接器),2379 瑞昱 (半導體),6290 良維 (連接器),1476 儒鴻 (紡織),1717 長興 (半導體),3034 聯詠 (半導體),3529 力旺 (半導體),,,,,,
2014-03-13,9938 百和 (其他),2439 美律 (能源元件),2231 為升 (汽車),9914 美利達 (休閒娛樂),1536 和大 (汽車),,,,,,,,,,
2014-03-14,5347 世界 (半導體),2439 美律 (能源元件),6147 頎邦 (半導體),2382 廣達 (運動科技),8112 至上 (半導體),9914 美利達 (休閒娛樂),3189 景碩 (半導體),3006 晶豪科 (半導體),2324 仁寶 (平面顯示器),,,,,,
2014-03-17,9914 美利達 (休閒娛樂),3227 原相 (人工智慧),2439 美律 (能源元件),,,,,,,,,,,,
2014-03-18,3189 景碩 (半導體),3006 晶豪科 (半導體),3653 健策 (半導體),3529 力旺 (半導體),6147 頎邦 (半導體),2377 微星 (電腦及週邊設備),3008 大立光 (電腦及週邊設備),6182 合晶 (半導體),5483 中美晶 (半導體),2474 可成 (電腦及週邊設備),4128 中天 (製藥),,,,
2014-03-19,3006 晶豪科 (半導體),3227 原相 (人工智慧),3653 健策 (半導體),1312 國喬 (石化及塑橡膠),3529 力旺 (半導體),3189 景碩 (半導體),2308 台達電 (LED照明產業),2449 京元電子 (半導體),2330 台積電 (半導體),,,,,,
2014-03-20,1216 統一 (食品),4904 遠傳 (大數據),2002 中鋼 (鋼鐵),5371 中光電 (人工智慧),,,,,,,,,,,
2014-03-21,5009 榮剛 (航太週邊),1210 大成 (食品),1216 統一 (食品),2002 中鋼 (鋼鐵),,,,,,,,,,,
2014-03-24,3006 晶豪科 (半導體),3653 健策 (半導體),1440 南紡 (紡織),2449 京元電子 (半導體),1210 大成 (食品),3189 景碩 (半導體),5347 世界 (半導體),1216 統一 (食品),2337 旺宏 (半導體),,,,,,
2014-03-25,4958 臻鼎-KY (印刷電路板),1210 大成 (食品),2049 上銀 (自動化),1101 台泥 (水泥),1102 亞泥 (水泥),2383 台光電 (印刷電路板),,,,,,,,,
2014-03-26,3653 健策 (半導體),1210 大成 (食品),3189 景碩 (半導體),2313 華通 (印刷電路板),3529 力旺 (半導體),1440 南紡 (紡織),5274 信驊 (半導體),1101 台泥 (水泥),2441 超豐 (半導體),6153 嘉聯益 (印刷電路板),3034 聯詠 (半導體),1476 儒鴻 (紡織),,,
2014-03-27,3533 嘉澤 (連接器),2105 正新 (石化及塑橡膠),2382 廣達 (運動科技),2332 友訊 (通信網路),2317 鴻海 (通信網路),3227 原相 (人工智慧),,,,,,,,,
2014-03-28,2105 正新 (石化及塑橡膠),2382 廣達 (運動科技),2317 鴻海 (通信網路),3533 嘉澤 (連接器),,,,,,,,,,,
2014-03-31,2105 正新 (石化及塑橡膠),2376 技嘉 (電動車輛產業),2231 為升 (汽車),1216 統一 (食品),1536 和大 (汽車),,,,,,,,,,
2014-04-01,5347 世界 (半導體),1312 國喬 (石化及塑橡膠),3034 聯詠 (半導體),6257 矽格 (半導體),2303 聯電 (半導體),1707 葡萄王 (食品生技),8112 至上 (半導體),8436 大江 (食品生技),1314 中石化 (石化及塑橡膠),1319 東陽 (汽車),9939 宏全 (石化及塑橡膠),,,,
2014-04-02,2409 友達 (太陽能產業),6257 矽格 (半導體),2049 上銀 (自動化),3034 聯詠 (半導體),6147 頎邦 (半導體),1590 亞德客-KY (電機機械),2454 聯發科 (半導體),1605 華新 (太陽能產業),2303 聯電 (半導體),5483 中美晶 (半導體),8112 至上 (半導體),,,,
2014-04-03,2409 友達 (太陽能產業),6147 頎邦 (半導體),6279 胡連 (連接器),1536 和大 (汽車),2303 聯電 (半導體),9914 美利達 (休閒娛樂),,,,,,,,,
2014-04-07,6153 嘉聯益 (印刷電路板),6282 康舒 (平面顯示器),2357 華碩 (人工智慧),6269 台郡 (印刷電路板),5371 中光電 (人工智慧),,,,,,,,,,
2014-04-08,6279 胡連 (連接器),6290 良維 (連接器),6153 嘉聯益 (印刷電路板),2231 為升 (汽車),,,,,,,,,,,
2014-04-09,6279 胡連 (連接器),2376 技嘉 (電動車輛產業),6153 嘉聯益 (印刷電路板),,,,,,,,,,,,
2014-04-10,6279 胡連 (連接器),3552 同致 (汽車),2352 佳世達 (人工智慧),1102 亞泥 (水泥),,,,,,,,,,,
2014-04-11,1102 亞泥 (水泥),2002 中鋼 (鋼鐵),,,,,,,,,,,,,
2014-04-14,2376 技嘉 (電動車輛產業),1301 台塑 (石化及塑橡膠),,,,,,,,,,,,,
2014-04-15,4958 臻鼎-KY (印刷電路板),2313 華通 (印刷電路板),2376 技嘉 (電動車輛產業),6153 嘉聯益 (印刷電路板),8046 南電 (印刷電路板),9914 美利達 (休閒娛樂),,,,,,,,,
2014-04-16,2027 大成鋼 (鋼鐵),4958 臻鼎-KY (印刷電路板),1101 台泥 (水泥),6269 台郡 (印刷電路板),8046 南電 (印刷電路板),,,,,,,,,,
2014-04-17,3006 晶豪科 (半導體),4958 臻鼎-KY (印刷電路板),2344 華邦電 (半導體),9914 美利達 (休閒娛樂),2439 美律 (能源元件),,,,,,,,,,
2014-04-18,1565 精華 (醫療器材),5009 榮剛 (航太週邊),2337 旺宏 (半導體),2441 超豐 (半導體),3034 聯詠 (半導體),5483 中美晶 (半導體),4123 晟德 (製藥),5347 世界 (半導體),2379 瑞昱 (半導體),3529 力旺 (半導體),8150 南茂 (半導體),,,,
2014-04-21,5009 榮剛 (航太週邊),2317 鴻海 (通信網路),4123 晟德 (製藥),,,,,,,,,,,,
2014-04-22,2474 可成 (電腦及週邊設備),2345 智邦 (通信網路),3006 晶豪科 (半導體),2421 建準 (平面顯示器),3008 大立光 (電腦及週邊設備),2317 鴻海 (通信網路),5388 中磊 (通信網路),2377 微星 (電腦及週邊設備),2454 聯發科 (半導體),5347 世界 (半導體),5871 中租-KY (太陽能產業),2441 超豐 (半導體),3653 健策 (半導體),6239 力成 (半導體),5483 中美晶 (半導體)
2014-04-23,2474 可成 (電腦及週邊設備),2421 建準 (平面顯示器),3376 新日興 (電腦及週邊設備),1101 台泥 (水泥),,,,,,,,,,,
2014-04-24,2360 致茂 (LED照明產業),2313 華通 (印刷電路板),6153 嘉聯益 (印刷電路板),8046 南電 (印刷電路板),2371 大同 (LED照明產業),6271 同欣電 (LED照明產業),,,,,,,,,
2014-04-25,2439 美律 (能源元件),6121 新普 (能源元件),2377 微星 (電腦及週邊設備),3376 新日興 (電腦及週邊設備),6271 同欣電 (LED照明產業),8039 台虹 (印刷電路板),,,,,,,,,
2014-04-28,2439 美律 (能源元件),6121 新普 (能源元件),,,,,,,,,,,,,
2014-04-29,2474 可成 (電腦及週邊設備),6121 新普 (能源元件),2439 美律 (能源元件),3376 新日興 (電腦及週邊設備),2377 微星 (電腦及週邊設備),8039 台虹 (印刷電路板),,,,,,,,,
2014-04-30,2377 微星 (電腦及週邊設備),3008 大立光 (電腦及週邊設備),4958 臻鼎-KY (印刷電路板),8046 南電 (印刷電路板),8039 台虹 (印刷電路板),,,,,,,,,,
2014-05-05,3189 景碩 (半導體),2344 華邦電 (半導體),2498 宏達電 (人工智慧),2454 聯發科 (半導體),4123 晟德 (製藥),3036 文曄 (半導體),2379 瑞昱 (半導體),8039 台虹 (印刷電路板),5483 中美晶 (半導體),6153 嘉聯益 (印刷電路板),2355 敬鵬 (印刷電路板),4958 臻鼎-KY (印刷電路板),2330 台積電 (半導體),6147 頎邦 (半導體),6257 矽格 (半導體)
2014-05-06,2498 宏達電 (人工智慧),4123 晟德 (製藥),8039 台虹 (印刷電路板),3189 景碩 (半導體),3034 聯詠 (半導體),2454 聯發科 (半導體),8046 南電 (印刷電路板),6147 頎邦 (半導體),2330 台積電 (半導體),,,,,,
2014-05-07,4938 和碩 (半導體),2408 南亞科 (半導體),3189 景碩 (半導體),4123 晟德 (製藥),2454 聯發科 (半導體),3006 晶豪科 (半導體),8044 網家 (電子商務),6147 頎邦 (半導體),2330 台積電 (半導體),5347 世界 (半導體),,,,,
2014-05-08,3189 景碩 (半導體),2454 聯發科 (半導體),1565 精華 (醫療器材),4123 晟德 (製藥),3653 健策 (半導體),3702 大聯大 (半導體),2371 大同 (LED照明產業),2312 金寶 (其他),2360 致茂 (LED照明產業),9938 百和 (其他),,,,,
2014-05-09,3189 景碩 (半導體),3533 嘉澤 (連接器),2883 凱基金 (金融),2881 富邦金 (金融),2884 玉山金 (金融),,,,,,,,,,
2014-05-12,3533 嘉澤 (連接器),2027 大成鋼 (鋼鐵),2327 國巨 (被動元件),2377 微星 (電腦及週邊設備),2312 金寶 (其他),3008 大立光 (電腦及週邊設備),2474 可成 (電腦及週邊設備),,,,,,,,
2014-05-13,3533 嘉澤 (連接器),2327 國巨 (被動元件),2027 大成鋼 (鋼鐵),2891 中信金 (金融),,,,,,,,,,,
2014-05-14,2327 國巨 (被動元件),3533 嘉澤 (連接器),2474 可成 (電腦及週邊設備),2312 金寶 (其他),9904 寶成 (其他),3008 大立光 (電腦及週邊設備),6188 廣明 (電腦及週邊設備),,,,,,,,
2014-05-15,2439 美律 (能源元件),2327 國巨 (被動元件),2884 玉山金 (金融),1101 台泥 (水泥),2883 凱基金 (金融),2880 華南金 (金融),,,,,,,,,
2014-05-16,2439 美律 (能源元件),5347 世界 (半導體),5483 中美晶 (半導體),3078 僑威 (電腦及週邊設備),2884 玉山金 (金融),2454 聯發科 (半導體),3529 力旺 (半導體),5269 祥碩 (半導體),2883 凱基金 (金融),2880 華南金 (金融),2892 第一金 (金融),2885 元大金 (金融),,,
2014-05-19,2439 美律 (能源元件),1795 美時 (製藥),3045 台灣大 (通信網路),,,,,,,,,,,,
2014-05-20,2439 美律 (能源元件),3189 景碩 (半導體),6245 立端 (通信網路),2449 京元電子 (半導體),2049 上銀 (自動化),3529 力旺 (半導體),9914 美利達 (休閒娛樂),5388 中磊 (通信網路),3045 台灣大 (通信網路),2379 瑞昱 (半導體),,,,,
2014-05-21,4736 泰博 (醫療器材),3293 鈊象 (休閒娛樂),4904 遠傳 (大數據),5388 中磊 (通信網路),3045 台灣大 (通信網路),,,,,,,,,,
2014-05-22,4123 晟德 (製藥),9938 百和 (其他),2439 美律 (能源元件),9904 寶成 (其他),8044 網家 (電子商務),1565 精華 (醫療器材),,,,,,,,,
2014-05-23,3189 景碩 (半導體),3691 碩禾 (太陽能產業),2379 瑞昱 (半導體),2449 京元電子 (半導體),3443 創意 (半導體),2439 美律 (能源元件),2458 義隆 (半導體),3036 文曄 (半導體),2330 台積電 (半導體),2454 聯發科 (半導體),6121 新普 (能源元件),1795 美時 (製藥),,,
2014-05-26,4162 智擎 (製藥),2458 義隆 (半導體),3293 鈊象 (休閒娛樂),2231 為升 (汽車),1795 美時 (製藥),2454 聯發科 (半導體),2379 瑞昱 (半導體),3443 創意 (半導體),8044 網家 (電子商務),5269 祥碩 (半導體),4938 和碩 (半導體),,,,
2014-05-27,2231 為升 (汽車),4162 智擎 (製藥),3552 同致 (汽車),2347 聯強 (半導體),8150 南茂 (半導體),2344 華邦電 (半導體),2458 義隆 (半導體),3264 欣銓 (半導體),4123 晟德 (製藥),2303 聯電 (半導體),3443 創意 (半導體),5347 世界 (半導體),2886 兆豐金 (金融),8086 宏捷科 (半導體),2883 凱基金 (金融)
2014-05-28,2303 聯電 (半導體),3552 同致 (汽車),5347 世界 (半導體),3189 景碩 (半導體),2458 義隆 (半導體),5457 宣德 (太空衛星科技),4162 智擎 (製藥),6285 啟碁 (太空衛星科技),8150 南茂 (半導體),2883 凱基金 (金融),2886 兆豐金 (金融),4938 和碩 (半導體),8086 宏捷科 (半導體),5483 中美晶 (半導體),2379 瑞昱 (半導體)
2014-05-29,5388 中磊 (通信網路),4938 和碩 (半導體),3702 大聯大 (半導體),3189 景碩 (半導體),6239 力成 (半導體),2886 兆豐金 (金融),2352 佳世達 (人工智慧),5483 中美晶 (半導體),2379 瑞昱 (半導體),2884 玉山金 (金融),5371 中光電 (人工智慧),2329 華泰 (半導體),3653 健策 (半導體),3045 台灣大 (通信網路),3005 神基 (電腦及週邊設備)
2014-05-30,3702 大聯大 (半導體),3260 威剛 (LED照明產業),3017 奇鋐 (電腦及週邊設備),3189 景碩 (半導體),2393 億光 (LED照明產業),5269 祥碩 (半導體),6223 旺矽 (LED照明產業),3008 大立光 (電腦及週邊設備),2379 瑞昱 (半導體),,,,,,
2014-06-03,1314 中石化 (石化及塑橡膠),3017 奇鋐 (電腦及週邊設備),6285 啟碁 (太空衛星科技),2317 鴻海 (通信網路),3189 景碩 (半導體),2474 可成 (電腦及週邊設備),5425 台半 (半導體),1301 台塑 (石化及塑橡膠),5457 宣德 (太空衛星科技),5269 祥碩 (半導體),2356 英業達 (電腦及週邊設備),3008 大立光 (電腦及週邊設備),,,
2014-06-04,5388 中磊 (通信網路),2327 國巨 (被動元件),6285 啟碁 (太空衛星科技),2385 群光 (電腦及週邊設備),,,,,,,,,,,
2014-06-05,3653 健策 (半導體),3006 晶豪科 (半導體),5388 中磊 (通信網路),2379 瑞昱 (半導體),2449 京元電子 (半導體),2454 聯發科 (半導體),8069 元太 (平面顯示器),2393 億光 (LED照明產業),5347 世界 (半導體),2441 超豐 (半導體),,,,,
2014-06-06,3006 晶豪科 (半導體),2458 義隆 (半導體),8044 網家 (電子商務),2049 上銀 (自動化),6188 廣明 (電腦及週邊設備),3653 健策 (半導體),2379 瑞昱 (半導體),5347 世界 (半導體),6414 樺漢 (電腦及週邊設備),2356 英業達 (電腦及週邊設備),2441 超豐 (半導體),,,,
2014-06-09,8039 台虹 (印刷電路板),8044 網家 (電子商務),8069 元太 (平面顯示器),2324 仁寶 (平面顯示器),1303 南亞 (印刷電路板),2421 建準 (平面顯示器),6414 樺漢 (電腦及週邊設備),,,,,,,,
2014-06-10,2474 可成 (電腦及週邊設備),8044 網家 (電子商務),2890 永豐金 (金融),,,,,,,,,,,,
2014-06-11,8044 網家 (電子商務),2049 上銀 (自動化),2382 廣達 (運動科技),4123 晟德 (製藥),,,,,,,,,,,
2014-06-12,2915 潤泰全 (貿易百貨),2382 廣達 (運動科技),4123 晟德 (製藥),,,,,,,,,,,,
