,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2012-06-13,2489 瑞軒 (平面顯示器),2886 兆豐金 (金融),9914 美利達 (休閒娛樂),2891 中信金 (金融),2887 台新新光金 (金融),1402 遠東新 (建材營造),,,,,,,,,
2012-06-14,3406 玉晶光 (LED照明產業),2891 中信金 (金融),9914 美利達 (休閒娛樂),2886 兆豐金 (金融),1402 遠東新 (建材營造),2887 台新新光金 (金融),,,,,,,,,
2012-06-15,3406 玉晶光 (LED照明產業),2308 台達電 (LED照明產業),2886 兆豐金 (金融),2891 中信金 (金融),2887 台新新光金 (金融),2105 正新 (石化及塑橡膠),9914 美利達 (休閒娛樂),,,,,,,,
2012-06-18,2603 長榮 (交通運輸及航運),3673 TPK-KY (觸控面板),2105 正新 (石化及塑橡膠),3005 神基 (電腦及週邊設備),2308 台達電 (LED照明產業),3376 新日興 (電腦及週邊設備),,,,,,,,,
2012-06-19,6153 嘉聯益 (印刷電路板),6176 瑞儀 (平面顯示器),4958 臻鼎-KY (印刷電路板),6278 台表科 (LED照明產業),2105 正新 (石化及塑橡膠),3005 神基 (電腦及週邊設備),8163 達方 (平面顯示器),3324 雙鴻 (電腦及週邊設備),2308 台達電 (LED照明產業),,,,,,
2012-06-20,2891 中信金 (金融),6176 瑞儀 (平面顯示器),3005 神基 (電腦及週邊設備),6278 台表科 (LED照明產業),2105 正新 (石化及塑橡膠),8163 達方 (平面顯示器),2882 國泰金 (金融),2385 群光 (電腦及週邊設備),3376 新日興 (電腦及週邊設備),,,,,,
2012-06-21,3005 神基 (電腦及週邊設備),6176 瑞儀 (平面顯示器),2610 華航 (交通運輸及航運),3673 TPK-KY (觸控面板),2603 長榮 (交通運輸及航運),2609 陽明 (交通運輸及航運),2105 正新 (石化及塑橡膠),,,,,,,,
2012-06-22,3005 神基 (電腦及週邊設備),2610 華航 (交通運輸及航運),2609 陽明 (交通運輸及航運),3673 TPK-KY (觸控面板),2603 長榮 (交通運輸及航運),2105 正新 (石化及塑橡膠),,,,,,,,,
2012-06-25,2610 華航 (交通運輸及航運),3005 神基 (電腦及週邊設備),2609 陽明 (交通運輸及航運),3045 台灣大 (通信網路),3376 新日興 (電腦及週邊設備),,,,,,,,,,
2012-06-26,3005 神基 (電腦及週邊設備),2610 華航 (交通運輸及航運),3673 TPK-KY (觸控面板),2609 陽明 (交通運輸及航運),3376 新日興 (電腦及週邊設備),,,,,,,,,,
2012-06-27,2609 陽明 (交通運輸及航運),3045 台灣大 (通信網路),4904 遠傳 (大數據),2603 長榮 (交通運輸及航運),3673 TPK-KY (觸控面板),,,,,,,,,,
2012-06-28,2609 陽明 (交通運輸及航運),3045 台灣大 (通信網路),2317 鴻海 (通信網路),2603 長榮 (交通運輸及航運),,,,,,,,,,,
2012-06-29,2317 鴻海 (通信網路),3045 台灣大 (通信網路),2886 兆豐金 (金融),2603 長榮 (交通運輸及航運),5388 中磊 (通信網路),1402 遠東新 (建材營造),2609 陽明 (交通運輸及航運),2882 國泰金 (金融),2892 第一金 (金融),2891 中信金 (金融),2610 華航 (交通運輸及航運),,,,
2012-07-02,2891 中信金 (金融),2886 兆豐金 (金融),2317 鴻海 (通信網路),2882 國泰金 (金融),1326 台化 (石化及塑橡膠),5388 中磊 (通信網路),2892 第一金 (金融),1402 遠東新 (建材營造),2105 正新 (石化及塑橡膠),6153 嘉聯益 (印刷電路板),4958 臻鼎-KY (印刷電路板),,,,
2012-07-03,2891 中信金 (金融),2886 兆豐金 (金融),9914 美利達 (休閒娛樂),1326 台化 (石化及塑橡膠),2105 正新 (石化及塑橡膠),6153 嘉聯益 (印刷電路板),2892 第一金 (金融),4958 臻鼎-KY (印刷電路板),,,,,,,
2012-07-04,9914 美利達 (休閒娛樂),2891 中信金 (金融),2439 美律 (能源元件),1504 東元 (人工智慧),2886 兆豐金 (金融),2892 第一金 (金融),6121 新普 (能源元件),,,,,,,,
2012-07-05,2886 兆豐金 (金融),2891 中信金 (金融),2439 美律 (能源元件),1802 台玻 (印刷電路板),6153 嘉聯益 (印刷電路板),2884 玉山金 (金融),2892 第一金 (金融),4958 臻鼎-KY (印刷電路板),6121 新普 (能源元件),,,,,,
2012-07-06,2449 京元電子 (半導體),2385 群光 (電腦及週邊設備),2915 潤泰全 (貿易百貨),2891 中信金 (金融),2887 台新新光金 (金融),3376 新日興 (電腦及週邊設備),2356 英業達 (電腦及週邊設備),2347 聯強 (半導體),8299 群聯 (半導體),,,,,,
2012-07-09,2449 京元電子 (半導體),1802 台玻 (印刷電路板),2915 潤泰全 (貿易百貨),2317 鴻海 (通信網路),2347 聯強 (半導體),3045 台灣大 (通信網路),4958 臻鼎-KY (印刷電路板),5388 中磊 (通信網路),,,,,,,
2012-07-10,2610 華航 (交通運輸及航運),2354 鴻準 (其他),2885 元大金 (金融),,,,,,,,,,,,
2012-07-11,2610 華航 (交通運輸及航運),4904 遠傳 (大數據),5904 寶雅 (貿易百貨),2606 裕民 (交通運輸及航運),2609 陽明 (交通運輸及航運),,,,,,,,,,
2012-07-12,2105 正新 (石化及塑橡膠),2886 兆豐金 (金融),4904 遠傳 (大數據),2890 永豐金 (金融),2385 群光 (電腦及週邊設備),2892 第一金 (金融),2885 元大金 (金融),3231 緯創 (電腦及週邊設備),,,,,,,
